name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Stockholm,2023-02-14,44.8,32.9,38.6,41.8,26.6,35.2,31.6,76.9,0,0,0,,0,0.5,13.4,8.6,263,1030.5,55.9,17.1,54.1,4.7,2,10,2023-02-14T07:27:03,2023-02-14T16:37:50,0.8,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"02486099999,02464099999,02460099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSA,ESSB"
Stockholm,2023-02-15,37.6,33.4,36,32.9,27,30.7,31.8,84.6,0,0,0,,0,0,13.4,8.5,227.1,1023.8,94.6,10.2,12.5,1.3,0,10,2023-02-15T07:24:26,2023-02-15T16:40:23,0.83,Overcast,Cloudy skies throughout the day.,cloudy,"02486099999,02464099999,02460099999,02490099999,02469099999,02489099999,02484099999,02458099999,ESSA,E4931,ESSB"
Stockholm,2023-02-16,40,32.8,36.5,37.7,25.9,31.5,32.8,86.4,0,0,0,,0,0,17.9,8.1,218.5,1013,93.1,6.4,17,1.5,1,10,2023-02-16T07:21:48,2023-02-16T16:42:55,0.87,Overcast,Cloudy skies throughout the day.,cloudy,"02486099999,02464099999,02460099999,02490099999,02469099999,02489099999,02484099999,02458099999,ESSA,E4931,ESSB"
Stockholm,2023-02-17,41,34,38.5,40,28.6,33.6,36.5,92.6,0.322,100,37.5,rain,0,0,24.6,15.6,161.7,996.8,87.6,6.1,21.8,1.8,2,10,2023-02-17T07:19:08,2023-02-17T16:45:28,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB"
Stockholm,2023-02-18,39.7,32.3,36.3,35.3,22.3,26.9,29.7,77.9,0.23,100,29.17,"rain,snow",0.2,0.1,31.3,18.8,296,990.7,70.7,14.4,27,2.2,1,10,2023-02-18T07:16:27,2023-02-18T16:48:00,0.94,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB"
Stockholm,2023-02-19,35.6,29.7,32,25.2,18.7,22,17.8,55.4,0.004,100,4.17,"rain,snow",0,0,31.3,20.1,285.5,1003.4,11.4,18.6,62.3,5.3,3,10,2023-02-19T07:13:46,2023-02-19T16:50:32,0.97,"Snow, Rain",Clear conditions throughout the day with morning rain or snow.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB,F4490"
Stockholm,2023-02-20,37.5,26.4,32,28.6,19.4,24.8,26.8,81.7,0.171,100,33.33,"rain,snow",1.3,0.6,29.1,16.9,249.5,991.1,60.8,14,20.6,1.7,1,10,2023-02-20T07:11:03,2023-02-20T16:53:03,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB"
Stockholm,2023-02-21,31.3,26.6,29,29.3,19.2,23.9,25.7,87.6,0.09,100,20.83,"rain,snow",0.5,0.5,20.1,11.8,346.3,1004.5,94,14.3,21.5,1.7,1,10,2023-02-21T07:08:19,2023-02-21T16:55:34,0.04,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow in the morning and afternoon.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB"
Stockholm,2023-02-22,30,26.3,28.1,29.6,19.2,23.1,19.6,70.4,0.013,100,8.33,snow,0,0.5,13.4,7.5,182.8,1020.3,91.2,17.2,31.1,2.8,2,10,2023-02-22T07:05:34,2023-02-22T16:58:05,0.07,"Snow, Overcast",Cloudy skies throughout the day with snow clearing later.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB"
Stockholm,2023-02-23,33.5,30,31.6,32.9,22.2,26.8,29.5,92.5,0.194,100,62.5,"rain,snow",1,0.9,20.1,9.1,200.8,1010.2,96.4,7.5,20.5,1.7,1,10,2023-02-23T07:02:48,2023-02-23T17:00:35,0.1,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB"
